iter	Passed	Remaining
343	224	428
344	225	427
345	225	427
346	226	4234347	226	4234348	227	4234349	228	4235350	228	4235351	229	4235352	230	4235353	230	4235354	231	4235355	232	4235356	233	4135357	233	4135358	234	4135359	234	4136360	235	41361	233	410
36362	236	4136363	237	4136364	238	414
365	239	414
366	239	413
367	240	413
368	241	412
369	241	411
370	242	411
371	243	410
372	243	409
373	244	409
374	245	408
375	245	408
376	246	407
377	247	406
378	247	406
379	248	405
380	248	404
381	249	403
382	250	402
383	250	401
384	251	400
385	251	400
386	252	399
387	252	3938388	253	3938389	253	3939390	253	39391	251	390
392	252	389
393	252	389
394	253	388
395	254	387
396	254	387
397	255	386
398	256	385
399	256	384
400	257	384
401	257	383
402	258	382
403	259	382
404	260	382
405	260	381
406	261	380
407	261	379
408	262	378
409	262	377
410	263	377
411	263	376
41412	267	3841413	268	3741414	268	379
415	269	378
416	270	377
417	271	377
418	271	376
419	272	376
420	273	375
421	274	375
422	274	374
423	275	374
424	276	373
425	276	372
426	277	372
427	277	371
428	278	370
429	279	370
430	279	369
431	280	368
432	280	367
433	281	367
434	282	366
435	282	365
436	283	364
437	283	364
438	284	364
439	285	363
440	286	362
441	286	361
442	287	361
443	287	360
444	288	359
445	288	358
446	289	357
447	289	356
448	290	356
449	290	355
450	291	354
451	292	354
452	292	353
453	293	352
454	294	352
455	294	351
456	295	351
457	296	350
458	296	349
459	297	348
460	297	348
461	298	347
462	298	346
463	299	345
464	300	345
465	300	344
466	301	343
467	302	343
468	302	342
469	303	342
470	304	341
471	304	340
472	305	340
473	306	339
474	306	339
475	307	338
476	308	337
477	308	337
478	309	336
479	310	335
480	310	335
481	311	334
482	311	333
483	312	333
484	313	332
485	313	331
486	314	331
487	315	330
488	315	329
489	316	329
490	316	328
491	317	327
492	317	327
493	318	326
494	319	325
495	319	324
496	320	324
497	320	323
498	321	322
499	321	321
500	322	321
501	323	320
502	323	319
503	324	319
504	324	318
505	325	317
506	326	317
507	326	316
508	327	315
509	328	315
510	328	314
511	329	313
512	330	313
513	330	312
514	331	312
515	332	311
516	332	310
517	333	310
518	333	309
519	334	308
520	334	307
521	335	307
522	336	306
523	336	305
524	337	305
525	337	304
526	338	303
527	339	303
528	339	302
529	340	301
530	340	300
