LanguagesWorkedWith
Bash/Shell/PowerShell;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript;VBA
Bash/Shell/PowerShell;Clojure;Java;Python;Other(s):
Bash/Shell/PowerShell;C;C++;C#
Assembly;C;C++;C#;HTML/CSS;Java
Clojure;Go;HTML/CSS;Java;JavaScript;R;SQL
C;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA
HTML/CSS;Java;JavaScript;Python
C#;HTML/CSS;Java;JavaScript;Objective-C;SQL;TypeScript
C#;HTML/CSS;JavaScript;SQL
HTML/CSS;JavaScript;PHP;Python;SQL;VBA
C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
SQL
HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby
HTML/CSS;JavaScript
PHP;SQL
HTML/CSS;JavaScript;PHP;SQL
HTML/CSS;Java;JavaScript;Kotlin;Python
C#;HTML/CSS;JavaScript;TypeScript
Bash/Shell/PowerShell;C#;F#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
Assembly;Bash/Shell/PowerShell;C;C++;Python
Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python;Rust
HTML/CSS;JavaScript
C;C++;C#;Java;Kotlin;PHP;SQL
Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL
Bash/Shell/PowerShell;C;C++;C#;Go;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL
C++;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
Bash/Shell/PowerShell;Python
Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Ruby;SQL;Swift;TypeScript
HTML/CSS;JavaScript;TypeScript
HTML/CSS;Java;JavaScript;Kotlin;SQL;VBA
Python;SQL
C#;HTML/CSS;JavaScript;SQL
C#;HTML/CSS;JavaScript;Python;R;SQL
C;C++;Java;Python;R;Scala;SQL
Bash/Shell/PowerShell;JavaScript;Python;R;SQL
HTML/CSS;Java;JavaScript;SQL
C;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL
HTML/CSS;JavaScript;Ruby;SQL;TypeScript
