iter	RMSE
420	95850.2294
421	95811.70274
422	95789.45634
423	95750.41368
424	95722.92329
425	95675.07777
426	95640.22307
427	95594.45748
428	95566.2366
429	95550.08877
430	95520.79305
431	95500.81165
432	95475.60961
433	95453.95342
434	95429.90167
435	95399.35428
436	95365.94379
437	95352.67224
438	95328.28411
439	95302.89307
440	95272.05349
441	95229.01155
442	95199.85763
443	95183.48212
444	95155.91593
445	95138.79029
446	95106.43811
447	95081.65482
448	95043.88323
449	95009.35051
450	94984.1398
451	94961.79478
452	94942.04493
453	94916.06312
454	94896.2662
455	94864.84231
456	94833.75952
457	94805.67063
458	94762.4098
459	94719.76783
460	94689.65789
461	94666.49766
462	94643.61042
463	94607.2434
464	94563.21124
465	94530.8233
466	94507.02078
467	94485.10893
468	94454.50257
469	94431.53958
470	94403.12647
471	94376.51631
472	94354.86907
473	94325.93014
474	94297.83126
475	94282.33318
476	94246.81533
477	94212.55912
478	94183.69828
479	94157.64572
480	94133.1866
481	94097.68481
482	94064.75883
483	94039.53779
484	94014.46267
485	93983.52603
486	93948.11781
487	93935.50193
488	93910.48511
489	93881.87276
490	93857.6869
491	93838.91735
492	93825.93506
493	93807.2623
494	93783.83518
495	93760.5592
496	93740.81935
497	93718.33816
498	93693.66622
499	93674.53961
500	93642.79327
501	93621.88703
502	93596.86401
503	93556.35248
504	93527.80634
505	93498.15389
506	93460.42701
507	93431.55539
508	93407.22427
509	93384.27513
510	93364.55862
511	93340.15667
512	93318.96054
513	93290.54317
514	93272.39289
515	93249.73482
516	93224.0351
517	93196.2436
518	93167.15338
519	93151.87183
520	93127.9786
521	93098.42783
522	93070.09156
523	93040.45796
524	93024.41675
525	92999.24996
526	92975.14277
527	92955.32982
528	92935.36979
529	92911.23017
530	92885.66863
531	92858.88893
532	92832.8029
533	92808.67906
534	92778.16013
535	92750.83694
536	92737.24644
537	92718.40688
538	92691.91752
539	92662.68857
540	92639.98809
541	92618.60897
542	92595.29732
543	92571.08156
544	92530.87857
545	92508.45547
546	92492.90285
547	92467.63489
548	92432.13179
549	92403.56869
550	92383.47254
551	92352.83916
552	92337.66668
553	92326.75358
554	92302.93244
555	92289.73198
556	92269.16578
557	92256.87263
558	92228.01347
559	92204.97305
560	92170.67152
561	92149.2283
562	92126.64488
563	92099.10426
564	92074.72937
565	92060.27385
566	92041.95648
567	92021.7935
568	92006.60563
569	91989.69493
570	91969.53289
571	91946.13526
572	91924.14196
573	91897.394
574	91874.21614
575	91859.12423
576	91835.66272
577	91806.2618
578	91772.18847
579	91753.24169
580	91739.48891
581	91717.53074
582	91701.41322
583	91685.41904
584	91674.36138
585	91648.04455
586	91632.77555
587	91617.67423
588	91594.33893
589	91571.0862
590	91548.90065
591	91509.47199
592	91496.7975
593	91475.52461
594	91449.41821
595	91426.55081
596	91396.97363
597	91371.52142
598	91356.24977
